file,sheet,column,method,total,converted,failed
天诚25年开票明细全量发票查询导出结果 (48).xlsx,信息汇总表,金额,numeric_parse,227,227,0
天诚25年开票明细全量发票查询导出结果 (48).xlsx,信息汇总表,税额,numeric_parse,227,227,0
天诚25年开票明细全量发票查询导出结果 (48).xlsx,信息汇总表,单价,numeric_parse,227,222,5
天诚25年开票明细全量发票查询导出结果 (48).xlsx,信息汇总表,数量,numeric_parse,227,222,5
天诚25年开票明细全量发票查询导出结果 (48).xlsx,信息汇总表,价税合计,numeric_parse,227,227,0
天诚25年开票明细全量发票查询导出结果 (48).xlsx,信息汇总表,税率_数值,map_tax_text_to_zero,227,220,0
天诚25年开票明细全量发票查询导出结果 (48).xlsx,信息汇总表,税率_数值,tax_parse,227,7,0
天诚25年开票明细全量发票查询导出结果 (48).xlsx,信息汇总表,税率,tax_text_tokens,227,220,0
天诚25年开票明细全量发票查询导出结果 (48).xlsx,发票基础信息,开票日期,pd.to_datetime,216,215,1
天诚25年开票明细全量发票查询导出结果 (48).xlsx,发票基础信息,金额,numeric_parse,216,216,0
天诚25年开票明细全量发票查询导出结果 (48).xlsx,发票基础信息,税额,numeric_parse,216,216,0
天诚25年开票明细全量发票查询导出结果 (48).xlsx,发票基础信息,价税合计,numeric_parse,216,215,1
天诚24年开票明细全量发票查询导出结果 (47).xlsx,信息汇总表,开票日期,pd.to_datetime,329,329,0
天诚24年开票明细全量发票查询导出结果 (47).xlsx,信息汇总表,金额,numeric_parse,329,329,0
天诚24年开票明细全量发票查询导出结果 (47).xlsx,信息汇总表,税额,numeric_parse,329,329,0
天诚24年开票明细全量发票查询导出结果 (47).xlsx,信息汇总表,单价,numeric_parse,329,307,22
天诚24年开票明细全量发票查询导出结果 (47).xlsx,信息汇总表,数量,numeric_parse,329,307,22
天诚24年开票明细全量发票查询导出结果 (47).xlsx,信息汇总表,价税合计,numeric_parse,329,329,0
天诚24年开票明细全量发票查询导出结果 (47).xlsx,信息汇总表,税率_数值,map_tax_text_to_zero,329,250,0
天诚24年开票明细全量发票查询导出结果 (47).xlsx,信息汇总表,税率_数值,tax_parse,329,79,0
天诚24年开票明细全量发票查询导出结果 (47).xlsx,信息汇总表,税率,tax_text_tokens,329,250,0
天诚24年开票明细全量发票查询导出结果 (47).xlsx,发票基础信息,开票日期,pd.to_datetime,307,306,1
天诚24年开票明细全量发票查询导出结果 (47).xlsx,发票基础信息,金额,numeric_parse,307,307,0
天诚24年开票明细全量发票查询导出结果 (47).xlsx,发票基础信息,税额,numeric_parse,307,307,0
天诚24年开票明细全量发票查询导出结果 (47).xlsx,发票基础信息,价税合计,numeric_parse,307,306,1
天诚24年取得发票全量发票查询导出结果 (50).xlsx,信息汇总表,开票日期,pd.to_datetime,1008,1008,0
天诚24年取得发票全量发票查询导出结果 (50).xlsx,信息汇总表,金额,numeric_parse,1008,1008,0
天诚24年取得发票全量发票查询导出结果 (50).xlsx,信息汇总表,税额,numeric_parse,1008,1008,0
天诚24年取得发票全量发票查询导出结果 (50).xlsx,信息汇总表,单价,numeric_parse,1008,936,72
天诚24年取得发票全量发票查询导出结果 (50).xlsx,信息汇总表,数量,numeric_parse,1008,936,72
天诚24年取得发票全量发票查询导出结果 (50).xlsx,信息汇总表,价税合计,numeric_parse,1008,1008,0
